,0
1077,41.0
1078,121.0
1079,62.0
1080,37.0
1081,342.0
1082,1223.0
1083,471.0
1084,247.0
1085,103.0
1086,2094.0
1087,28.0
1088,29.0
1089,37.0
1090,846.0
1091,18.0
1092,206.0
1093,99.0
1094,237.0
1095,15.0
1096,272.0
1097,236.0
1098,1223.0
1099,15.0
1100,1.0
1101,1.0
1102,6.0
1103,1.0
1104,119.0
1105,1.0
1106,1.0
1107,1.0
1108,2.0
1109,1.0
1110,6.0
1111,1.0
1112,1.0
1113,1.0
1114,1.0
1115,1.0
1116,1.0
1117,1.0
1118,2.0
1119,1.0
1120,5.0
1121,12.0
1122,19.0
1123,10.0
1124,14.0
1125,12.0
1126,10.0
1127,8.0
1128,7.0
1129,6.0
1130,6.0
1131,5.0
1132,8.0
1133,6.0
1134,2.0
1135,5.0
1136,9.0
1137,7.0
1138,8.0
1139,6.0
1140,776.0
1141,133.0
1142,433.0
1143,1012.0
1144,1596.0
1145,434.0
1146,435.0
1147,355.0
1148,337.0
1149,1389.0
1150,33.0
1151,622.0
1152,631.0
1153,748.0
1154,509.0
1155,509.0
1156,494.0
1157,666.0
1158,296.0
1159,622.0
1160,402.0
1161,2236.0
1162,70.0
1163,21.0
1164,13.0
1165,573.0
1166,42.0
1167,202.0
1168,5.0
1169,102.0
1170,183.0
1171,60.0
1172,189.0
1173,303.0
1174,123.0
1175,614.0
1176,183.0
1177,13.0
1178,123.0
1179,402.0
1180,5.0
